full_text,topic,type
@ovo_id beli paket data akrab XL 60 ribu dapet 26GB kok masuknya cuman 13GB yaa Min? aku kira promo ini tadi ‍ padahal kalo beli di myXL harganya lebih murah,ovo,komplain
@grumpym00d Pake gopay bisa itu coba aja cari di aplikasi gojek,gopay,pernyataan
baru tau kalo gojek bisa gratis gitu,gojek,pujian
@CNNIndonesia jgn mudah percaya. dia kaya punya gojek ga mungkin korupsi kecuali uangnya dipakai jokowi buat pilpres. nah apa prabowo berani kalau ujungnya kena di dia saat nadiem buka bukaan?,gojek,komplain
guys akun gopay aku tiba tiba ke blokir padahal lagi di tomoro udah mesen mau bayar tiba tiba akun nya ke log out. pas mau login lagi udah ke blokir akunnya. ini bisa di pulihkan gasi? masi ada saldo lumayan soalnya,gopay,komplain
@takberapanakok emang enak. Bisa liat reviews di Grab,grabfood,pujian
@helloyosh_ WKWKWK SUMPAHHH BERARTI KITA SETAUN LALU UDAH KETEMU aku kan turun gojek langsung lari ke tabul trus jalan ke banner noyi eh balik lagi karena temenku antri di project junkyu. sekalian aja aku balik ngasih ke yg jagain tabul noyi Demi apa sih? TERHARUUU MAACI YAA ,gojek,pernyataan
lagi nunggu grab habis RPC Jakim tiba-tiba mas di belakang gw marah2 sama temannya. lagian ngapain bikin expo di BALAI SARBINI?!? MACET ANJIrrr!!! gw dalam hati: mas ini balai kartini mas! KARTINI! ,grab,saran-kritik
@UrLilLilyyy WKWK bner2 liat postanmu pas bru duduk di gojek,gojek,pernyataan
@ardisatriawan OVO dulunya milik Nobu Bank sekarang dijual ke Superbank ya pak?,ovo,pertanyaan
Awalnya gua heran kenapa logonya mobil bukan motor.. EH BENERAN GRABFOOD PAKE MOBIL BJIR https://t.co/8CX9XkGoWr,grabfood,pernyataan
gakuat gosend pod LAH SOLUSINY AGAR HIDUP KU SMNGAT. makan nnti dlu yg penting NGEBUL,gosend,pernyataan
my abang gofood so romantic masa karna liat gue keluar ngambil makanan pake mukena dia ngambil uang gue dengan tangan yg kaya dan bilang awas udah wudhu takut batal aaaaakkk ️️,gofood,pernyataan
Kalo kalian mau diskonnya ambil aja ya https://t.co/cXnBFrcHlo,gojek,pernyataan
@mianrima_ @mosyukiborhan @amireshkak sebab dapat harga student la onz hahahaa kalau sempat grab la damn p muzium ek last p time sekolah tu. boleh boleh,grab,pujian
Permainan tadi apa namanya? GRABFOOD LOVE TFO #GrabFoodลดแรงxTFO #TleFirstone #เติ้ลเฟิร์สวัน,grabfood,pertanyaan
ges aku punya cardi dianty annisa warna grey masih bagusss bgtt jarang dipakee bcs saya anaknya fomo jd sekali dua kali pake abistu numpuk di lemari aku jual 50k ajaaa dom jakpus (jkt sekitarnya bs pke gosend) https://t.co/FMXYyaY43N,gosend,pujian
andai aj bs ubah sedih jd saldo gopay,gopay,pernyataan
@rachelJgr P lagi nunggu gofood p,gofood,pernyataan
Dan terjadi lagi... Salim ke abang gojek,gojek,pernyataan
akhirnya mau lewat tol tp dgn bilang saya gaada saldo etoll ada bgt aja ajg. yauda bayar cash aje di pintu tol tar masukin billing grab gw.,grabcar,komplain
@KET4KUTAN Hai Kak aku dari Akun Grab Official. Mohon maaf atas ketidaknyamanannya ‍️ Agar dapat kami tindaklanjuti mohon kesediaannya infokan kode pemesanan Kakak melalui DM dgn ketik Agent dan mengisi email &amp; no hp yg ditanyakan ya Kak. Terima kasih - Ani,grab,pernyataan
tbtb gua disuruh jd gojek https://t.co/iEXqIUGOcE,gojek,pernyataan
@gopayindonesia kapan gopay kerjasama dgn transjakarta ? lbh lengkap layanan nya klo bisa bayar tj pakai gopay ditunggu ya,gopay,saran-kritik
gw lebih sering pake ovo drpd cash.,ovo,pernyataan
Info jam berapa gojek murah,gojek,pertanyaan
@sxbillvx gojek ak,gojek,pernyataan
minimal helm yang bersih dong grab masa customer disuruh pake helm bau apek tolong. di benah lagi dah drivernya,grab,komplain
@yvanalu @ganoewira untung gak minta saldo ovo,ovo,pernyataan
@buttuers qris kamu merchant mana kak? aku gopay tapi malah ga berhasil,gopay,pertanyaan
kalo kita bayar dari ovo tuh nomor pengirim keliatan gasih di nomor penerima???? tanyarl,ovo,pertanyaan
@negativisme uda bener pegang gojek lagi aja,gojek,pernyataan
Tulah tu. Benda dah ada grab skrg. Pelik masih lagi nak tumpang2. tp ada kes awalnya naik grab skali terpaut dgn abg grab tu laki org. Asyik laa contact laki tu suruh anta kesana kesini ,grab,komplain
@chttpn_ Ohh gofood maap tim grab wkwk. Agak fancy ya ,grabfood,pernyataan
